category,source,target
equip,Deployable Cover,
equip,TinBot: Firewall,
equip,Tinbot (Repeater),
equip,X Visor,
extra,+1 Order,
extra,+10,
extra,+1SD,
extra,+2.5,
extra,+20,
extra,+2B,
extra,+3,
extra,+4,
extra,+5,
extra,+7.5,
extra,-9,
extra,1,
extra,1 Use,
extra,2,
extra,2W,
extra,7.5,
extra,AP,
extra,ARM,
extra,ARM=0,
extra,Ancillary,
extra,BS=13,
extra,BTS=6,
extra,CC=15,
extra,Combi R.,
extra,Continous Damage,
extra,Critical,
extra,Dodge (PH+3),
extra,Enhanced,
extra,Escape System -2,
extra,Escape System -3,
extra,GizmoKit (PH+1),
extra,IMM-B,
extra,Isolated,
extra,Jet Propulsion,
extra,Mk12,
extra,PARA,
extra,PH=11,
extra,PH=12,
extra,PH=13,
extra,PH=15,
extra,PH=17,
extra,POS,
extra,PS=3,
extra,PS=4,
extra,PS=5,
extra,PS=6,
extra,PS=7,
extra,Plasma Carabine,
extra,ReRoll -3,
extra,SR-1,
extra,Servant,
extra,Shock,
extra,Synchronized,
extra,Total,
extra,UPGRADE: Carbonita (+1SD),
extra,UPGRADE: Carbonite (PS=6),
extra,UPGRADE: Firewall (-3),
extra,UPGRADE: Oblivion (+1B),
extra,UPGRADE: Trinity (+1SD),
extra,UPGRADE: Trinity (PS=5),
extra,UPGRADE: Zero Pain,
extra,WIP=14,
fireteam,FTO,
profile,CLAIRE LAZHARI FTO,
profile,CSU,
profile,GARUDA,
profile,KINNARA Scoutbots,
profile,KIRANBOT 1,
profile,KIRANBOT 2,
profile,KYRA SHARMA,
profile,MAXIMUS AGENT FTO,
profile,MINIMUS,
profile,OPERATOR MAXIMUS,
profile,RACERBOT Mk-III,
profile,RUBY MONDAY,
profile,SAMEKH Rebot FTO,
profile,SFORZA FTO,
profile,SHARVARA_K-9,
profile,SĀCHĀ,
profile,TARKSIA,
profile,TARKSIA OPERATOR,
profile,YAKSHA,
skill,Aerial,
skill,Bangbomb,
skill,Combat Instinct,
skill,Commlink,
skill,Hacker,
skill,Jump,
skill,Limited Cover,
skill,No Cover,
skill,TAGCom,
skill,Tech-recovery,
skill,Technorganic,
skill,Warhorse,
unit,AUTHORIZED BOUNTY HUNTERS,
unit,Artalis Unit,
unit,Authorized Bounty Hunters,
unit,"CSU, Corporate Security Unit",
unit,Dawon Tacbots,
unit,Dikpala Tacbots,
unit,"Dr. Claire Lazhari, Genephilosopher and Optimate",
unit,"FATHER LUCIEN SFORZA, Authorized Bounty Hunter",
unit,"Father Lucien Sforza, Authorized Bounty Hunter",
unit,"JOHN HAWKWOOD, Mercenary Officer",
unit,"John Hawkwood, Mercenary Officer",
unit,"Johnny Kao, Optimate and Technomancer Master",
unit,KINNARA Scoutbots,
unit,"KYRA SHARMA, The  Iron Maiden of the Optimates",
unit,Kazurabā RUBY MONDAY,
unit,Kazurabā Ruby Monday,
unit,Kinnara Scoutbots,
unit,"Kyra Sharma, The  Iron Maiden of the Optimates",
unit,"MAXIMUS, Optimate and HexaDome Legend",
unit,"Maximus, Optimate and HexaDome Legend",
unit,Minimus MateBot,
unit,Operator Maximus,
unit,Optimate Agent Maximus,
unit,POST-HUMANS,
unit,Pilot-X Team,
unit,"Pilot-X, the Optimate Lightspeedster",
unit,RacerBots,
unit,Riksha Tacbots,
unit,"SHAKTI, Yadu Officer",
unit,SHARVARA HoundBots,
unit,Satrah Unit,
unit,Sharvara HoundBots,
unit,Sharvara_K-9 HoundBots,
unit,"SĀCHĀ, Xenotech Hunters",
unit,"Sāchā, Xenotech Hunters",
unit,Tarkshya Interception Wing,
unit,Tarkshya Operator,
unit,Yaksha Tacbots,
weapon,AP + DA CC Weapon,
weapon,AP Mine,
weapon,Adhesive Launcher Rifle,
weapon,Armed Turret,
weapon,Boarding Pistol,
weapon,Cybermine,
weapon,Disco Baller,
weapon,E/M Carbine,
weapon,MULTI Red Fury,
weapon,Mk12,
weapon,Monofilament Mine,
weapon,PARA Mine,
weapon,Shock Mine,
weapon,Silenced Pistol,
weapon,Thunderbolt,
weapon,Thunderbolt AP,
weapon,Viral Mine,
